Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA
Date,,,,,,,,,,
2026-04-23,273.1783142089844,373.7200012207031,275.5161566987003,386.0,271.39995382845746,368.3900146484375,274.79681820267325,375.2799987792969,33399600,93969500
2026-04-24,270.81048583984375,376.29998779296875,272.80864483253174,382.760009765625,269.4017800912603,370.7300109863281,272.50893317942314,373.5,38157100,62893300
2026-04-27,267.3636474609375,378.6700134277344,268.1129570778125,380.7799987792969,264.8260075108844,364.0199890136719,265.84505761361925,372.0899963378906,41466800,66735800
2026-04-28,270.4608154296875,376.0199890136719,272.97851539952296,382.2900085449219,268.4127145556596,372.5400085449219,272.0893199684016,374.67999267578125,40018900,50864400
2026-04-29,269.92132568359375,372.79998779296875,270.7905199823619,376.3999938964844,266.7942019267937,370.0400085449219,267.3037117460274,375.3999938964844,30047900,45384800
2026-04-30,271.1002502441406,381.6300048828125,275.7459641951834,384.75,267.893213328058,368.1700134277344,270.25102650288807,372.75,91848200,51076000
2026-05-01,279.88214111328125,390.82000732421875,286.95561044034525,397.82000732421875,278.1137509144006,378.79998779296875,278.6032901046287,382.489990234375,79915400,65338300
2026-05-04,276.5751647949219,392.510009765625,280.3716851917065,394.6400146484375,274.60697695873915,384.79998779296875,279.4025768563376,390.2300109863281,46668400,48765100
2026-05-05,283.9184265136719,389.3699951171875,284.30808218316156,402.1199951171875,276.2455026895375,389.0,276.6750995896243,395.19000244140625,49311700,47780600
2026-05-06,287.245361328125,398.7300109863281,287.76487170009636,401.67999267578125,280.8112868075762,384.0199890136719,281.66051049385584,386.25,58336100,53465400
2026-05-07,287.1754150390625,411.7900085449219,291.8611003514943,415.8299865722656,285.5169394038565,402.1199951171875,289.00371711581823,407.4800109863281,45224300,64294200
2026-05-08,293.0500183105469,428.3500061035156,294.4886952888782,431.20001220703125,289.7330669166447,416.3900146484375,289.7430674686918,416.4800109863281,52692800,65050000
2026-05-11,292.67999267578125,445.0,293.8800048828125,449.1600036621094,290.2300109863281,416.79998779296875,291.9800109863281,422.1600036621094,42247300,78376100
2026-05-12,294.79998779296875,433.45001220703125,295.2699890136719,447.79998779296875,292.55999755859375,422.260009765625,292.55999755859375,441.4100036621094,45748100,60569300
2026-05-13,298.8699951171875,445.2699890136719,300.9200134277344,453.3999938964844,293.5,430.2099914550781,293.5,436.6700134277344,52684300,68283200
2026-05-14,298.2099914550781,443.29998779296875,300.45001220703125,451.9800109863281,295.3800048828125,441.1600036621094,299.82000732421875,446.489990234375,35324900,46070400
2026-05-15,300.2300109863281,422.239990234375,303.20001220703125,434.6600036621094,296.5199890136719,422.0,297.8999938964844,433.9800109863281,54862800,52688700
2026-05-18,297.8399963378906,409.989990234375,300.6600036621094,421.1300048828125,294.9100036621094,405.3299865722656,300.239990234375,419.2699890136719,34483000,52474200
2026-05-19,298.9700012207031,404.1099853515625,300.510009765625,405.6300048828125,296.3500061035156,393.6300048828125,296.9700012207031,403.1600036621094,42243600,46500600
2026-05-20,302.25,417.260009765625,302.79998779296875,417.4599914550781,298.0799865722656,406.3900146484375,298.17999267578125,407.6000061035156,38229800,45294700
2026-05-21,304.989990234375,417.8500061035156,305.5400085449219,426.95001220703125,300.3999938964844,412.8999938964844,301.05999755859375,422.17999267578125,42965100,42636900
2026-05-22,308.82000732421875,426.010009765625,311.3999938964844,431.510009765625,305.8399963378906,420.510009765625,306.1199951171875,422.6700134277344,43627900,45944100
